# f (Hz)	sigma(f)	PI(f)
3.521875e+01	4.374036e-07	2.052702e-08
3.525000e+01	4.533509e-07	2.051488e-08
3.528125e+01	4.406293e-07	2.050724e-08
3.531250e+01	4.337991e-07	2.050119e-08
3.534375e+01	4.403084e-07	2.049514e-08
3.537500e+01	4.484450e-07	2.048911e-08
3.540625e+01	4.645716e-07	2.048308e-08
3.543750e+01	4.978872e-07	2.047705e-08
3.546875e+01	4.771311e-07	2.047104e-08
3.550000e+01	4.864724e-07	2.046503e-08
3.553125e+01	4.720763e-07	2.045903e-08
3.556250e+01	4.718376e-07	2.045303e-08
3.559375e+01	4.414202e-07	2.044705e-08
3.562500e+01	4.380209e-07	2.044107e-08
3.565625e+01	5.139680e-07	2.043509e-08
3.568750e+01	1.275761e-06	2.042913e-08
3.571875e+01	1.455574e-06	2.042317e-08
3.575000e+01	7.697376e-07	2.041721e-08
3.578125e+01	6.012676e-07	2.041127e-08
3.581250e+01	4.717576e-07	2.040533e-08
3.584375e+01	5.190494e-07	2.039940e-08
3.587500e+01	9.734688e-07	2.039347e-08
3.590625e+01	inf	2.038755e-08
3.593750e+01	7.014607e-07	2.038164e-08
3.596875e+01	4.981762e-07	2.037574e-08
3.600000e+01	2.470392e-06	2.036984e-08
3.603125e+01	4.894368e-07	2.036395e-08
3.606250e+01	1.501171e-06	2.035807e-08
3.609375e+01	4.736167e-07	2.035219e-08
3.612500e+01	4.737919e-07	2.034632e-08
3.615625e+01	4.698779e-07	2.034046e-08
3.618750e+01	4.683856e-07	2.033460e-08
3.621875e+01	4.822090e-07	2.032875e-08
3.625000e+01	5.026917e-07	2.032519e-08
3.628125e+01	4.848654e-07	2.032519e-08
3.631250e+01	4.789266e-07	2.032519e-08
3.634375e+01	4.981434e-07	2.032519e-08
3.637500e+01	4.892243e-07	2.032519e-08
3.640625e+01	4.735148e-07	2.032519e-08
3.643750e+01	4.746639e-07	2.032519e-08
3.646875e+01	4.861035e-07	2.032519e-08
3.650000e+01	5.261322e-07	2.032519e-08
3.653125e+01	5.267139e-07	2.032519e-08
3.656250e+01	5.257480e-07	2.032519e-08
3.659375e+01	4.942056e-07	2.032519e-08
3.662500e+01	5.389728e-07	2.032519e-08
3.665625e+01	6.363864e-07	2.032519e-08
3.668750e+01	inf	2.032519e-08
3.671875e+01	8.685334e-07	2.032519e-08
3.675000e+01	5.442320e-07	2.032519e-08
3.678125e+01	5.025337e-07	2.032519e-08
3.681250e+01	5.008745e-07	2.032519e-08
3.684375e+01	5.138246e-07	2.032519e-08
3.687500e+01	4.947847e-07	2.032519e-08
3.690625e+01	4.802133e-07	2.032519e-08
3.693750e+01	4.800598e-07	2.032519e-08
3.696875e+01	4.880125e-07	2.032519e-08
3.700000e+01	1.562002e-06	2.032519e-08
3.703125e+01	4.806275e-07	2.032519e-08
3.706250e+01	4.758080e-07	2.032519e-08
3.709375e+01	4.772280e-07	2.032519e-08
3.712500e+01	4.927738e-07	2.032519e-08
3.715625e+01	5.028554e-07	2.032519e-08
3.718750e+01	1.403259e-06	2.032519e-08
3.721875e+01	4.658914e-07	2.032519e-08
3.725000e+01	5.299270e-07	2.032519e-08
3.728125e+01	9.890815e-07	2.032519e-08
3.731250e+01	1.089068e-06	2.032519e-08
3.734375e+01	5.609126e-07	2.032519e-08
3.737500e+01	4.467234e-07	2.032588e-08
3.740625e+01	4.418079e-07	2.033155e-08
3.743750e+01	4.561822e-07	2.033721e-08
3.746875e+01	4.715034e-07	2.034286e-08
3.750000e+01	5.076235e-07	2.034852e-08
3.753125e+01	4.921891e-07	2.035417e-08
3.756250e+01	4.598394e-07	2.035982e-08
3.759375e+01	4.393717e-07	2.036546e-08
3.762500e+01	4.392150e-07	2.037110e-08
3.765625e+01	4.479902e-07	2.037674e-08
3.768750e+01	4.605744e-07	2.038238e-08
3.771875e+01	4.745593e-07	2.038801e-08
3.775000e+01	4.882682e-07	2.039364e-08
3.778125e+01	4.678946e-07	2.039926e-08
3.781250e+01	4.501062e-07	2.040489e-08
3.784375e+01	4.431458e-07	2.041051e-08
3.787500e+01	4.375655e-07	2.041612e-08
3.790625e+01	4.353762e-07	2.042174e-08
3.793750e+01	4.391808e-07	2.042735e-08
3.796875e+01	4.445949e-07	2.043295e-08
3.800000e+01	1.288759e-06	2.043856e-08
3.803125e+01	4.377121e-07	2.044416e-08
3.806250e+01	4.423335e-07	2.044976e-08
3.809375e+01	4.533807e-07	2.045535e-08
